mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.4552385012308755,0.25437986529248047,0.08151555061340332,0.022375625410635442,0.9,10.0,0.1,500,7,0.2,0.8,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-13.275140232688463,-2.6266961993732267,-24.824506594911853,-13.575447675657847,9.06470573191422,16
2.154646952946981,0.1786925923721258,0.028508583704630535,0.0031596786017922783,0.7,10.0,10.0,200,11,0.01,0.7,"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 10, 'n_estimators': 200, 'max_depth': 11, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-31.521464694530124,-4.047939606166977,-49.77826758371773,-28.449223961471613,18.795295893298906,28
2.041290362675985,0.18954238993221997,0.025034666061401367,0.010480534744438113,0.9,0.1,0.1,100,9,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-12.982390774418905,-2.2582648863557164,-20.420246249303904,-11.886967303359507,7.454947180350785,4
15.256203810373941,2.7711559738052953,0.15294575691223145,0.018483632281641238,0.9,0.1,1.0,500,11,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-13.246113345546338,-2.5761432492127287,-21.419520031451167,-12.413925542070077,7.715249598232565,10
0.8502275149027506,0.07617245145523277,0.01642449696858724,0.004033138898501959,1.0,1.0,0.0,100,7,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-14.265797231162525,-2.092153321614911,-21.362604808368317,-12.573518453715252,7.957613994210324,11
1.960525115331014,0.16063739208880878,0.028431018193562824,0.004399922199634598,0.7,0.1,0.1,200,7,0.01,1.0,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-20.485548791554958,-3.530173027026153,-38.039055889489894,-20.684925902690335,14.088897816558598,25
7.13477365175883,1.0015846473081194,0.1582642396291097,0.03651101049586737,0.7,1.0,0.0,500,9,0.2,0.9,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-12.325138311410269,-2.626769000259575,-22.040941897956923,-12.330949736542257,7.925803961530469,8
12.896509011586508,1.558794663112614,0.1690209706624349,0.015976513844183582,0.9,10.0,0.1,500,11,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-12.8807315953238,-2.4775881798392208,-27.586292969046955,-14.314870914736659,10.300625571245996,18
2.2592787742614746,0.30566994683866955,0.041862169901529946,0.00273967037418073,0.8,0.1,1.0,300,7,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-11.944334960762559,-2.454948726496515,-21.485521059865476,-11.961601582374849,7.769208215172829,5
1.4166759649912517,0.26732081285873904,0.027365605036417644,0.001947503054769754,0.9,10.0,1.0,200,7,0.01,0.7,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-29.204694221477983,-4.049010169870989,-48.58359579113637,-27.279100060828444,18.23208278041943,27
0.4256170590718587,0.07982007293687092,0.018701712290445965,0.008956209259635575,0.9,0.1,10.0,200,3,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 10, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-11.170423038711888,-1.8100803348329242,-23.535149443186867,-12.171884272243894,8.897447214131676,7
1.2943743069966633,0.1065663038277554,0.01755634943644206,0.005477474376108748,0.9,10.0,0.0,100,9,0.01,0.8,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-61.94303019542429,-12.471438093140527,-103.35999537606853,-59.258154554877784,37.15363489751638,30
3.666188398996989,0.5257443269610576,0.02679928143819173,0.005049306122823047,0.9,10.0,0.0,100,11,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-14.946750743066884,-2.292509760846101,-30.056952012699266,-15.765404172204084,11.349558243000795,22
0.1665942668914795,0.022214724763035584,0.006606181462605794,0.0003353010904178596,1.0,10.0,0.1,100,3,0.2,1.0,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-10.291041720037569,-1.8543379344381143,-24.14296230167335,-12.096113985383012,9.188377022386039,6
0.6990493138631185,0.17771420530405393,0.01973406473795573,0.0008662846979834274,0.7,10.0,0.1,300,3,0.01,1.0,"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-20.288572465060223,-2.3631424411283315,-32.683919487806676,-18.44521146466508,12.446843375247862,24
3.271852890650431,0.5951155389539106,0.02558739980061849,0.002534832892692867,1.0,10.0,1.0,100,11,0.2,0.9,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 11, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-13.723842964444806,-2.536346474331155,-29.64838479060879,-15.302858076461584,11.124616007120116,21
4.880218585332234,0.2665507083935926,0.10867047309875488,0.023309602222445377,1.0,10.0,0.1,500,7,0.2,0.9,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-12.687571651263893,-2.537806070184814,-25.944784403883826,-13.723387375110844,9.583887323311286,17
6.431483745574951,1.0166110087164468,0.07271655400594075,0.013696316765435762,0.9,1.0,0.1,200,9,0.01,0.9,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-24.334126145434844,-3.873896548450417,-41.284535095764426,-23.164185929883228,15.29521797186772,26
11.061968882878622,1.01414423638364,0.19676613807678223,0.03112022683613634,0.8,1.0,0.0,500,9,0.05,0.7,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-12.796201624448685,-2.3857177635001916,-22.810034091377638,-12.663984493108837,8.338716343765192,12
7.2288492520650225,0.6918870539005869,0.04171339670817057,0.015544360510285344,0.8,0.1,0.0,100,11,0.01,0.7,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 11, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-49.7974360954688,-12.351054745171032,-93.87061150346132,-52.00636744803372,33.316853260847694,29
0.2656403382619222,0.03517693168273584,0.011967023213704428,0.003227342891940788,1.0,10.0,0.1,100,3,0.2,0.9,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-11.895379170366054,-1.8428343331918808,-21.287421542839088,-11.67521168213234,7.939745933405773,3
2.6453747749328613,0.20642439490905629,0.12022829055786133,0.013034584304736498,1.0,0.1,1.0,500,5,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-9.850719896587954,-2.3207530847452325,-21.770074869976213,-11.3138492837698,8.00727128632018,1
0.6000150839487711,0.09487442076055297,0.018874565760294598,0.00348333765368856,0.8,0.1,10.0,100,5,0.2,0.8,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 10, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-13.445748109063457,-2.263907221526384,-27.608001077430846,-14.439218802673564,10.370503406570007,19
3.1660544077555337,0.3677471667285663,0.08886520067850749,0.01675866979356131,0.8,10.0,1.0,300,7,0.1,0.7,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-12.626700241130319,-2.3594911043457043,-25.067020417181585,-13.351070587552536,9.28444958599798,14
3.592729409535726,0.3151523023413953,0.06605696678161621,0.007819186140176699,1.0,1.0,1.0,300,7,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-13.895123755563954,-2.249626023695115,-21.071140262638803,-12.405296680632624,7.755730702587553,9
1.0619492530822754,0.17097857648558756,0.029119571050008137,0.00471742601334599,1.0,10.0,0.0,200,5,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-12.974980169967237,-1.9981228198197951,-24.541970499138788,-13.171691162975273,9.204538317524378,13
3.440901517868042,0.30773812173816734,0.0575709342956543,0.014309842362950156,0.7,0.1,10.0,200,9,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 10, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-13.088733666411771,-2.2868259221699985,-24.909159472697745,-13.428239687093173,9.238648605050146,15
0.603084405263265,0.08248207990229878,0.02787892023722331,0.012176726261060042,0.7,10.0,1.0,100,5,0.05,0.7,"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-14.83563354609025,-1.9548064472128657,-28.71548278240657,-15.168640925236565,10.927537688951205,20
4.1158749262491865,0.37820266938797964,0.05318045616149902,0.008600845332969781,1.0,1.0,10.0,300,9,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 10, 'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-19.05744849408175,-2.5015222134642263,-31.67052217440352,-17.743164293983167,11.944403065851684,23
2.0792484283447266,0.10766136064479181,0.04434363047281901,0.0051244559453094245,0.8,0.1,1.0,300,7,0.2,0.7,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 0.7}",-11.954530751125999,-2.622600821247563,-19.67729769094629,-11.418143087773283,6.972873875401047,2
